date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:24	24/24	---M--	200	added ('OK')	text/plain	date:Mon,%2011%20Jan%202021%2012:15:20%20GMT	https://codingwithprajwal.com/robots.txt		(from )
14:49:24	145455/145455	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:24%20GMT	https://codingwithprajwal.com/	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/index.html	(from )
14:49:25	205767/205767	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Jan%202021%2007:54:42%20GMT	https://codingwithprajwal.com/frontend/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/assets/css/bootstrap.min.css	(from https://codingwithprajwal.com/)
14:49:25	15377/15377	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Jan%202021%2007:56:18%20GMT	https://codingwithprajwal.com/frontend/assets/css/classy-nav.min.css	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/assets/css/classy-nav.min.css	(from https://codingwithprajwal.com/)
14:49:25	3630/3630	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Jan%202021%2007:57:24%20GMT	https://codingwithprajwal.com/frontend/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/assets/css/owl.carousel.min.css	(from https://codingwithprajwal.com/)
14:49:26	4423/4423	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Jan%202021%2007:57:22%20GMT	https://codingwithprajwal.com/frontend/assets/css/nice-select.css	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/assets/css/nice-select.css	(from https://codingwithprajwal.com/)
14:49:26	59841/59841	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Jan%202021%2007:57:48%20GMT	https://codingwithprajwal.com/frontend/assets/css/animate.css	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/assets/css/animate.css	(from https://codingwithprajwal.com/)
14:49:26	20174/20174	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Jan%202021%2007:58:18%20GMT	https://codingwithprajwal.com/frontend/assets/css/jquery-ui.min.css	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/assets/css/jquery-ui.min.css	(from https://codingwithprajwal.com/)
14:49:26	8004/8004	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Jan%202021%2007:58:36%20GMT	https://codingwithprajwal.com/frontend/assets/css/magnific-popup.css	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/assets/css/magnific-popup.css	(from https://codingwithprajwal.com/)
14:49:26	34734/34734	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Jun%202019%2007:10:56%20GMT	https://codingwithprajwal.com/frontend/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/assets/css/fontawesome-all.min.css	(from https://codingwithprajwal.com/)
14:49:27	116054/116054	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Jan%202021%2007:59:30%20GMT	https://codingwithprajwal.com/frontend/assets/css/icofont.min.css	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/assets/css/icofont.min.css	(from https://codingwithprajwal.com/)
14:49:28	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%2257d97c08-8c85%22	http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	C:/My%20Web%20Sites/prajwal/code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	(from https://codingwithprajwal.com/)
